Skin Tone,Pigment Undertone,Complementary Colors (Clothing),Complementary Colors (Makeup),Complementary Colors (Accessories),Colors to Avoid (Clothing)
Fair,Cool (Pink/Blue),"Lavender, Baby Blue, Mint, Powder Blue, Light Gray","Sapphire Blue Eyeshadow, Icy Pink Lipstick",Silver Jewelry,"Harsh Orange, Neon Yellow, Moss Green"
Fair,Warm (Yellow/Golden),"Peach, Coral, Olive Green, Warm Beige, Salmon Pink","Coral Lipstick, Warm Gold Highlighter",Gold Jewelry,"Electric Blue, Cool Gray, Icy Silver"
Wheatish,Neutral,"Teal, Burnt Orange, Navy Blue, Dusty Rose, Seafoam Green","Soft Rose Lipstick, Terracotta Blush",Bronze Jewelry,"Neon Pink, Acid Green, Bright Purple"
Wheatish,Warm (Yellow/Golden),"Terracotta, Mustard Yellow, Brick Red, Olive, Golden Brown","Earthy Red Lipstick, Bronze Eyeshadow",Copper Jewelry,"Cool Blue, Light Gray, Frosty Pastels"
Medium,Cool (Olive),"Plum, Burgundy, Forest Green, Deep Teal, Smoke Gray","Deep Berry Lipstick, Charcoal Smokey Eye",Silver Jewelry,"Neon Green, Bright Yellow, Icy Blue"
Medium,Warm (Golden),"Rust, Amber, Olive, Rustic Orange, Camel Brown","Turquoise Eyeliner, Warm Nude Lipstick",Antique Gold Jewelry,"Cool Lavender, Frost Blue, Pale Silver"
Dusky,Cool,"Wine, Cobalt Blue, Amethyst Purple, Deep Plum, Gunmetal Gray","Plum Lipstick, Deep Blue Eyeliner",Silver Jewelry,"Light Pastels, Neon Yellow, Baby Pink"
Dusky,Warm,"Bronze, Copper, Mustard, Marigold, Deep Olive","Brick Red Lipstick, Warm Gold Eyeshadow",Copper Jewelry,"Ice Blue, Pale Pink, Cool Gray"
Deep,Cool,"Deep Purples, Midnight Blue, Silver-Gray, Navy Blue, Graphite","Dark Berry Lipstick, Steel Gray Eyeliner",Silver Jewelry,"Pastel Pink, Frosted Lilac, Bright Neon"
Deep,Warm,"Vibrant Orange, Gold, Emerald Green, Burnt Sienna, Bright Coral","Orange Red Lipstick, Golden Highlighter",Gold Jewelry,"Pale Pastel Blue, Baby Lavender, Cool Silver"
Fair,Cool (Pink),"Powder Blue, Lilac, Ice Blue, Blush Pink, Sky Blue","Pink Mauve Lipstick, Light Lavender Eyeshadow",Platinum Jewelry,"Neon Orange, Bright Yellow, Acid Green"
Fair,Warm (Peachy),"Coral Pink, Sunflower Yellow, Warm Peach, Soft Apricot, Light Gold","Coral Peach Blush, Golden Eye Makeup",Rose Gold Jewelry,"Cool Blue, Slate Gray, Frosted Tones"
Wheatish,Cool,"Ice Blue, Soft Mauve, Cool Taupe, Dusty Lavender, Light Charcoal","Soft Mauve Lipstick, Cool Taupe Eyeshadow",White Gold Jewelry,"Lime Green, Bright Red, Icy Yellow"
Wheatish,Warm,"Saffron Yellow, Olive, Burnt Umber, Brick Orange, Cinnamon Brown","Burnt Sienna Lipstick, Warm Brown Eyeshadow",Brushed Gold Jewelry,"Neon Cyan, Ice Pink, Cool Pastels"
Medium,Neutral,"Moss Green, Dusty Rose, Desert Sand, Sage Green, Burnt Coral","Muted Rose Lipstick, Olive Green Eyeliner",Bronze Jewelry,"Hot Pink, Neon Lime, Bright Cobalt"
Dusky,Neutral,"Charcoal Gray, Deep Teal, Mahogany, Petrol Blue, Olive Drab","Deep Teal Eyeliner, Smokey Mauve Lipstick",Gunmetal Jewelry,"Bright Neon Blue, Light Pastel Yellow, Frosty Gray"
Deep,Neutral,"Onyx Black, Rich Burgundy, Deep Ruby, Espresso Brown, Wine Red","Burgundy Lips, Dark Smokey Eye",Platinum Jewelry,"Neon Green, Frost Pink, Baby Blue"
Fair,Cool (Blue),"Baby Pink, Sky Blue, Soft Violet, Pale Lavender, Frosted Lilac","Light Pink Lipstick, Sky Blue Eyeshadow",Silver Jewelry,"Neon Orange, Electric Green, Warm Mustard"
Fair,Warm (Golden Beige),"Apricot, Butter Yellow, Sunlit Gold, Warm Taupe, Honeydew","Apricot Blush, Golden Beige Eyeshadow",Gold Accessories,"Cool Sky Blue, Slate Gray, Frosty White"
Wheatish,Neutral (Slight Olive),"Muted Teal, Brick Brown, Dusty Terracotta, Sage, Soft Cinnamon","Burnt Brick Lipstick, Muted Green Eye",Brushed Bronze Jewelry,"Neon Pink, Icy Lilac, Bright Blue"
Medium,Warm (Honey),"Amber, Rustic Orange, Warm Sand, Deep Camel, Caramel Brown","Honey Nude Lipstick, Rustic Orange Eye",Gilded Bronze Jewelry,"Cool Silver, Icy Lavender, Bright Aqua"
Dusky,Warm (Reddish Brown),"Copper, Marigold, Golden Bronze, Dark Mustard, Toasted Almond","Copper Lipstick, Marigold Eyeshadow",Antique Gold Jewelry,"Pastel Blue, Neon Green, Frosty Yellow"
Deep,Cool (Blue Black),"Indigo, Deep Violet, Royal Blue, Charcoal Blue, Midnight Indigo","Deep Violet Lipstick, Navy Smokey Eye",White Gold Jewelry,"Pastel Pink, Icy Blue, Baby Yellow"
Deep,Warm (Rich Mahogany),"Terracotta, Deep Emerald, Rich Amber, Deep Moss Green, Brick Copper","Brick Red Lipstick, Emerald Green Eye",Brass Jewelry,"Cool Silver, Icy Lavender, Light Sky Blue"
